,评论ID,评论内容,用户情绪
77,16788,为什么有效学习时间只有6分钟,0.0
78,16791,有点明白了，所以有成就感，感谢这个实验平台,0.0
79,16794,想换一个,1.0
80,16797,不知所云,1.0
81,16800,第一次做实验 非常感谢作者！,1.0
82,16806,好难,1.0
83,16809,课程挺好的，就是试验期间切换浏览器窗口，shell环境会恢复初始。,0.0
84,16812,很好,1.0
85,16815,下午18:30的项目，晚上20:00分使用的时候还没有被删除。可能有点问题。,1.0
86,16818,刚刚开始,1.0
87,16821,响应好慢呀,1.0
88,16827,啊！,1.0
89,16830,主要讲的发展过程，初步了解编程过程或者说原理，学会第一步hello word,0.0
90,16836,套路太深，有点敲不动,0.0
91,16842,感觉代码有点问题还是自己太笨了,0.0
92,16845,这实验楼可以,1.0
93,16848,讲的是个大概，有些没有太清楚，不过还可以了，毕竟只是基础入门,0.0
94,16851,讲的是个大概，有些没有太清楚，不过还可以了，毕竟只是基础入门,0.0
95,16854,好,1.0
96,16857,很详细~,1.0
97,16860,eclipse 启动不了 干,0.0
98,16863,好,1.0
99,16866,代码部分在用的时候还是需要回头看看，但上手操作确实提升较快,0.0
100,16869,linux！,1.0
101,16872,洗洗睡。明天见,1.0
102,16875,AAAA,1.0
103,16878,好像没有mongodb集群部署的实验，--keyfile参数的实验使用,0.0
104,16884,基础的,1.0
105,16887,很棒 学会了很多 打算加入会员,0.0
106,16890,的确对新手友好。,1.0
107,16893,刚用Vim好别扭啊,1.0
108,16896,真棒,1.0
109,16902,基础太弱了，好多看不懂，课程不错,1.0
110,16908,很好,1.0
111,16911,很不错的教程,1.0
112,16935,编辑器不给力，不能自动补全,0.0
113,16947,很不错的一个学习平台,1.0
114,16953,初学vim，还很懵懂,1.0
115,16956,网络连接失败,1.0
116,16959,嗯，有点意思,0.0
117,16962,嗯，不错,1.0
118,16965,菜的要死,1.0
119,16968,挺好的。,1.0
120,16971,还不错,1.0
121,16974,真的不错！！！nice,1.0
122,16977,很好的体验！,1.0
123,16983,试试，好像还可以，有些功能还不懂用，比如推送到git服务器之类的。,1.0
124,16995,太基础 了，这些我都会的,0.0
125,16998,会的,0.0
126,17001,初次体验编程的乐趣，只是在终端里输入一些代码就能形成一个令人激动的程序，很惊讶也很开心,0.0
127,17007,这次没有成功中间出现问题了 我想再试一次,0.0
128,17010,简单,1.0
129,17013,非常好的环境！之前学过一些 codeAcademy课程中的东西，现在国内也有这样的网站了，很赞！,1.0
130,17016,先大致了解VIM的各项功能，以后有需要再详细了解操作。,0.0
131,17019,有意思，晚上有时间好好看一下,0.0
132,17022,第一次用 遇到好多问题。。。。,0.0
133,17025,怎么突然就结束~,0.0
134,17028,没适应！！等弄清楚再说！,1.0
135,17034,不错,1.0
136,17037,自己的linux虚拟机的文件忘了带了，正好发现这里的在线系统可以使用，帮了大忙了，感谢!好东西值得分享！以分享~,1.0
137,17040,不错的新手入门教程，就是动手部分少了点,0.0
138,17046,还行,1.0
139,17049,几天不弄就忘了git，好尴尬,0.0
140,17052,不错，介绍挺好的,1.0
141,17058,实现了8个命令查询,0.0
142,17061,第一次做实验，各种迷茫...对新手还是不太友好啊,0.0
143,17064,不知怎么写,0.0
144,17067,学到了很多  谢谢这个平台  我很喜欢,0.0
145,17070,比较卡，虚拟环境,1.0
146,17073,这是一个新的开始，加入学习算法和实践的队伍中。,0.0
147,17076,这是一个新的开始，加入学习算法和实践的队伍中。,0.0
148,17079,这是一个新的开始，加入学习算法和实践的队伍中。,0.0
149,17082,这是一个新的开始，加入学习算法和实践的队伍中。,0.0
150,17085,很新鲜,1.0
151,17091,没有编写好，老是提示错误链接,0.0
152,17094,挺不错的入门，简单易懂,1.0
153,17097,内容精致详实,1.0
154,17100,感觉不错,1.0
155,17106,so so,1.0
156,17109,简单、易懂,1.0
157,17112,需要多加练习,1.0
158,17115,可以可以,1.0
159,17118,还不错,1.0
160,17121,有效学习时间？,1.0
161,17124,继续学习,1.0
162,17127,简单的熟悉环境,1.0
163,17130,挺好的,1.0
164,17133,可以,1.0
165,17136,good,1.0
166,17142,不错,1.0
167,17145,感觉还不错。,1.0
168,17151,感觉很新奇，之前用慕课等等 还是觉得这个效果好,1.0
169,17157,加油,1.0
170,17160,网站不错！对于我们这种小白简直太好了！,1.0
171,17163,good,1.0
172,17166,谢谢老师给我们提供一个学习的平台，内容浅显易懂，图文并茂非常不错。,1.0
173,17169,听棒,1.0
174,17172,不怎么会这个命令，有些环境配置老出问题，还得多练！,0.0
175,17175,很好,1.0
176,17178,不错，这次实验收获很多常用的命令使用方法！,1.0
177,17181,最初期的操作,1.0
178,17184,12306 url 报错,0.0
179,17187,加油啊，快啊，赶紧学会,1.0
180,17190,very good,1.0
181,17193,为什么停止实验后，下次再进入的时候之前的数据都没有了？,0.0
182,17196,为什么停止实验后，下次再进入的时候之前的数据都没有了？,0.0
183,17199,真正上手挺难，为什么不坚持练习呢,0.0
184,17205,不错,1.0
185,17220,6,1.0
186,17223,不会操作,0.0
187,17226,卡的很,1.0
188,17229,懵懂阶段，,1.0
189,17232,很好~,1.0
190,17235,没看教程自己画了个头，本课程的主要目的是：学习html的div布局结构，理解盒模型概念，熟悉各种css属性，还是不错的,0.0
191,17238,没有好好学习,0.0
192,17241,环境太模糊了，累眼睛，还是准备学git本地来做！,0.0
193,17247,感谢有这样一个软件,0.0
194,17250,这里没有试验内容,0.0
195,17253,很棒,1.0
196,17271,谢谢,1.0
197,17274,真的很不错,1.0
198,17280,教程很简单明了,1.0
199,17286,还可以,1.0
200,17289,非常的方便啊,1.0
201,17292,不错,1.0
202,17295,删除了shiyanlou用户，这个挺好玩的，什么都要去试试。另外对命令还是不熟悉，很多命令用的时候不记得了，要去查看文档。,1.0
203,17298,迅速过一遍,1.0
204,17304,不是太明白,0.0
205,17307,哈哈哈,1.0
206,17310,ing,1.0
207,17316,666,1.0
208,17319,666,1.0
209,17322,666,1.0
210,17325,666,1.0
211,17328,666,1.0
212,17331,666,1.0
213,17334,666,1.0
214,17337,666,1.0
215,17343,还不错,1.0
216,17346,体验很好 给虚拟linux 界面点赞,1.0
217,17349,好给力的项目     希望继续免费,1.0
218,17352,实验形式很好,1.0
219,17355,删除了shiyanlou用户，这个挺好玩的，什么都要去试试。另外对命令还是不熟悉，很多命令用的时候不记得了，要去查看文档。,1.0
220,17358,挺简单的,1.0
221,17361,学习了几个新的命令，对于最后那个游戏很感兴趣~,1.0
222,17364,不错,1.0
223,17367,这个课程挺不错的，在做的过程中我对js的刮刮乐更理解了,0.0
224,17397,还不错！,1.0
225,17406,很喜欢最后那个动图~,1.0
226,17409,正则表达式，第一次接触，还行！,1.0
227,17412,真的很不错,1.0
228,17418,非常不错 大赞,1.0
229,17421,不错,1.0
230,17424,各种命令有点多，慢慢来。快学结束时发现网购的机械键盘到了，第一次玩，背光效果挺有意思的，玩了一身汗，差点兴奋得跳起来，先结束这课，吃个饭玩一会儿,1.0
231,17439,很专业，讲的很详细。,1.0
232,17454,源代码讲解清晰，挺好的,1.0
233,17457,非常好，谢谢提供平台,1.0
234,17463,挺好的,1.0
235,17469,很不错，适合小白，和真正想学习的人，尤其是实验平台，真的很棒！,1.0
236,17472,谢谢提供环境,1.0
237,17475,Linux真好,1.0
238,17478,"实验环境太差，不明白这个转换字符界面有什么用，容易让人点错，使得代码不能保存,建议删除！还有计时功能绝对有bug：不能延时，到了可以延时时间，实验时间就会变成好几千分钟，此时点击延时就会出现说未到延时时间，但是随后不长时间后就会通知你实验结束，实验环境删除！！根本延时不了！！这个bug要是不修复，根本无法安心使用!",1.0
239,17481,啊啊啊啊啊系统卡死了，把我的代码弄没了。。,0.0
240,17484,晚安,1.0
241,17487,不错,1.0
242,17490,不错,1.0
243,17493,一开始看起来还不错,1.0
244,17496,不错，动手操作比较学进去，学完要对本节课学到的内容进行总结和吸收,0.0
245,17499,很棒的一个学习环境。,1.0
246,17502,不错的网站！以后会经常来学习的。,1.0
247,17508,good!,1.0
248,17511,不错,1.0
249,17514,美美哒,1.0
250,17517,标准库上来就讲正则，对于新手有点难,0.0
251,17520,内容太多 ，有点乱，都是新手那个最后让我们用vim去敲代码，稀里糊涂的。敲了大半天，突然试验时间到了，真的是醉了！！！！！！！！！！,1.0
252,17523,good,1.0
253,17526,还不错，最后那个视频有意思,1.0
254,17532,出去了十几分钟，回来发现实验环境死机了。。,0.0
255,17535,有点难，还需要线下努力！,1.0
256,17538,挺好,1.0
257,17541,OK,1.0
258,17544,网速太慢，安装依赖包等待时间过长,1.0
259,17547,加油呀,1.0
260,17550,感觉mac下实验环境反应有点慢，难道是我机子太老了？11年MacBook Air。。,0.0
261,17556,比较有趣,1.0
262,17559,还不错，作为新手来说还是挺好的一个教程,1.0
263,17562,呵呵 太多,0.0
264,17565,OK,1.0
265,17568,ok too,1.0
266,17571,实验过程中总是不能保存代码,0.0
267,17574,0,1.0
268,17577,介绍了入门linux的一些基础内容,0.0
269,17580,很感谢实验楼提供的平台。,1.0
270,17583,很感谢实验楼提供的平台。,1.0
271,17586,好,1.0
272,17589,很好的网站,1.0
273,17592,bug啊。。。根本没有提醒。。,0.0
274,17595,啊，去看看计算器,1.0
275,17598,运行速度好慢。。,1.0
276,17601,。。。没做完，伤心啊啊啊啊,0.0
277,17604,练习一次还不行，得多次练习才能理解。,0.0
278,17607,实验时间太短,0.0
279,17610,CPU很好，,1.0
280,17613,很好懂,1.0
281,17616,不错,1.0
282,17619,不错,1.0
283,17622,伤心。。。写了那么久都没了。。,0.0
284,17625,又白写了、、,0.0
285,17628,实验时间太短,0.0
286,17646,如何生成报告呢?,0.0
287,17649,好,1.0
288,17655,卡成ppt,1.0
289,17661,很不错,1.0
290,17664,2016.09.26 Python入门第一日,0.0
291,17667,入门级的学习永远是上手难，上手后学好难,0.0
292,17670,好久没学习了，都没动力了,0.0
293,17694,2个钟头,1.0
294,17697,有用，谢谢,1.0
295,17700,环境略卡   都是用物理机在做实验,0.0
296,17703,很好,1.0
297,17709,内容比较多,1.0
298,17715,好,1.0
299,17718,nice,1.0
300,17721,还是没明白 分布式控制系统Git是怎样实现修改代码同步的。因为课程说，实际上，互相推送更新的情况是很少的，那这些不同机器上修改的东西怎么合并呢？ 另外，就是最后一段儿，说的层次模型式  的都是怎么个意思，或实现方式……,1.0
301,17724,学会了,0.0
302,17727,很方便的课程,1.0
303,17730,一脸懵逼。。。。。。,0.0
304,17733,逻辑和思路很好，初学者看的很清晰,1.0
305,17739,好高级,1.0
306,17745,python脚本要放在/home/shiyanlou下，会报错；放在/home/shiyanlou/Code/dezip下运行正常,1.0
307,17748,"1.git config user.email ""zxz@126.com"" 失败。\n 提示： error: could not lock config file .git/config: No such file or directory\n2.clone仓库失败。\n 提示：Cloning into 'gitproject'\n           fatal: unable to access 'http://git.shiyanlou.com/shiyanlou/gitproject': Could not resolve host: git.shiyanlou\n3.怎么确定我的本地仓库当前是否连接到了远程Git服务器呢？\n4. git diff --cached 报错。\n  error: invalid option:-cached\n5.vim file4 到底怎么用、怎么编辑呢……（这个问题我自己应该可以尝试解决掉。。）\n6.快速向前合并是什么意思？没有讲操作诶好像。。。\n7.【我要提问】功能有bug，只输入了两个字“使用” 就再输入不了了。。。",1.0
308,17751,基础不好，跟着一点点做，一点点入门了,0.0
309,17754,很不错,1.0
310,17757,初次了解linux，感觉好神奇,1.0
311,17760,网站太棒了,1.0
312,17766,怎么是实验启动失败啊？,0.0
313,17769,刚开始接触python，感觉这个实验挺好的，但对我来说感觉有点难啊,0.0
314,17772,入门知识很不错，环境变量还是要好好理解一下,1.0
315,17778,这是个很好的学习环境，非常的有效果,1.0
316,17781,刚刚去了健身房。。,1.0
317,17784,a little hard for a freshman like me to fully understood,0.0
318,17787,溜溜溜溜溜溜,1.0
319,17790,简单,1.0
320,17793,简单,1.0
321,17796,简单,1.0
322,17799,简单,1.0
323,17802,简单,1.0
324,17805,简单,1.0
325,17808,简单,1.0
326,17811,简单,1.0
327,17814,实验楼的实验室真心不错，很好玩！！！,1.0
328,17817,明天来学,1.0
329,17823,越来越难了，都快记不住了\n感觉做总结,0.0
330,17832,讲的并不详细,0.0
331,17835,不太...,1.0
332,17841,简单易懂，实践能力得到很大提升,0.0
333,17847,超级棒,1.0
334,17850,不从，很棒,0.0
335,17988,权限低了点，其他还蛮好哦的,1.0
336,17991,权限低了点，其他还蛮好哦的,1.0
337,17994,很高兴！遇见实验楼， 加油,1.0
338,18006,目录是有大小写敏感的，输错大小写进不了正确的目录，这个跟windows有区别，Windows目录大小写不敏感，所以输入目录的大写和小写都可以。,0.0
339,18012,初学起来还是比较费劲。,0.0
340,18030,"gcc -o FILENAME.exe FILENAME.c  use low key ""o""\nreturn 0 printed inside{}",1.0
341,18033,因缺思厅,1.0
342,18036,"格式 main（）\n格式 printf (“5+4=%d\\n”,5+4); 错误格式:“5+4=%d/n”",1.0
343,18039,键盘不能输入,0.0
344,18042,建议结合图形界面，更方便查看仓库搭建情况,1.0
345,18045,"这个实验环境很好,但是速度还是慢了些",1.0
346,18048,重要和关键知识还是已经非常全面了，例子很清楚经典。但感觉少了些拓展之类的，我也说不清，之前在imooc看了一点Java的基础上面教了import，Scanner这些实用小知识而实验楼没有；实际编程习题偏少，如果自己的账号可以有纪笔记的功能就更好了；,1.0
347,18051,float time=1.5;,1.0
348,18057,才走开一下环境就被删除了，尼玛的,0.0
349,18063,对Linux的进程管理有了一定的了解,0.0
350,18066,对日志管理有了一定的了解,0.0
351,18072,very good!,1.0
352,18075,那个天气网站的html代码形式已经变了，没法直接使用。,0.0
353,18078,内容很丰富，很好的环境,1.0
354,18081,本次实验比较简单,1.0
355,18084,不错 学习了,1.0
356,18087,赞赞,1.0
357,18090,很好,1.0
358,18093,root,1.0
359,18096,谢谢,1.0
360,18099,这节课内容比较多一些,1.0
361,18102,不错,1.0
362,18105,以前从来没见过这样的，很好奇,0.0
363,18108,挺好玩的，我喜欢，呵呵。,1.0
364,18111,看起来不错,1.0
365,18114,挺不错的,1.0
366,18117,666,1.0
367,18120,刚刚有些懂,0.0
368,18126,"哦,有意思",1.0
369,18129,感觉非常棒,1.0
370,18132,不知道怎么的。卡死了。,0.0
371,18135,"The beginning is easy ,but that's so important that you must pay more attention to it.",1.0
372,18141,这个网站做得很不错,1.0
373,18144,怎么那么卡的，这开发环境。,0.0
374,18147,Linux~~~~要重头学过。,1.0
375,18150,遇到不懂的错误，没法解决,0.0
376,18153,充满挫败感。。,1.0
377,18156,henhaowan,1.0
378,18165,挺好的，简单易学,1.0
379,18168,介绍了RabbitMQ的使用，感觉很好,1.0
380,18189,卡住啦，上次实验失败了make test执行失败,1.0
381,18192,卡住啦，上次实验失败了make test执行失败,1.0
382,18195,卡住啦，上次实验失败了make test执行失败,1.0
383,18198,还没开始听课，还不知道从哪里入手,1.0
384,18201,太棒了,1.0
385,18204,类:.\nid:#\n属性:[],0.0
386,18213,很好,1.0
387,18219,有点看不懂,0.0
388,18222,太棒了,1.0
389,18225,相当好，这个很不错,1.0
390,18258,简介很不错,1.0
391,18267,不错,1.0
392,18270,学习了ls、cd、pwd等Linux基本操作命令,1.0
393,18273,无论是函数章节还是文件章节出现的name前后是两个__。修改一下就好了。嘎嘎,0.0
394,18276,还可以用'or'1=1')# 密码任意直接登陆,1.0
395,18282,感觉萌萌哒,1.0
396,18285,用起来很赞,0.0
397,18288,看不懂,1.0
398,18291,good,1.0
399,18294,没看懂,1.0
400,18297,还不错，可以使用,1.0
401,18300,实验成功！,1.0
402,18303,很好的体验了编程过程,1.0
403,18315,太卡了－ －,0.0
404,18330,时间有点短,0.0
405,18333,实验楼教学实验平台实在太棒了，使用起来方便简单，真是一个IT学习的好帮手。一百个赞,1.0
406,18336,mission completed！！！,1.0
407,18348,新手，对其中的环境还不太熟悉，熟悉之后再实验,0.0
408,18351,很好用,1.0
409,18354,棒棒,1.0
410,18357,不错！,1.0
411,18363,新手指南还不错，接受起来较容易,1.0
412,18366,已经学过，复习一遍,1.0
413,18369,有报错，眼睛都看花了,1.0
414,18378,很不错，很多基础内容,1.0
415,18381,开始变得有趣了。以前看廖雪峰的教程，都说ｐｙｔｈｏｎ比较容易学，但是看他的教程，我发现自己变得好笨，根本记不住。还是练习少了,0.0
416,18384,很方便！特别适合学linux。,1.0
417,18387,还不错，继续学习吧！,1.0
418,18390,挺不错的环境,1.0
419,18393,很好的体验,1.0
420,18396,新手报到，挺有意思的,1.0
421,18399,这个不错,1.0
422,18402,非常好,1.0
423,18405,可以学到东西的谢谢,1.0
424,18408,just test,1.0
425,18411,不错，刚来学习，实践的确更容易记住命令。,0.0
426,18417,第一节不用实验啊,0.0
427,18423,很好的体验,1.0
428,18426,很好的体验,1.0
429,18432,这个好像没什么用……,0.0
430,18438,学过了　就是扫一下,0.0
431,18441,不错,1.0
432,18444,"说实话　实验楼的教程很鸡肋　实验楼应当注重“实验""二字　就web前端课程来说　前面介绍标签这些知识点这些要么就不要做　要么就做成视频或者阅读起来调理清晰易于记忆的文档　弄个虚拟机界面看似给新手配置好了环境　其实新手根本就不懂那些　　　　还不如弄个在线ide　　我主要是看这里项目还不错",1.0
433,18447,蛤　我前面还评论实验楼项目不错　结果一进来看　还是一个虚拟机让你搞　　我为毛不再自己电脑上搭建　新手是菜　然而请教下别人　再上网搜一下资料　也可以搞出来了　实验楼就做个虚拟机　我实在想不到这有什么卖点　　　…………不说了　再见实验楼,1.0
434,18450,蛤　我前面还评论实验楼项目不错　结果一进来看　还是一个虚拟机让你搞　　我为毛不再自己电脑上搭建　新手是菜　然而请教下别人　再上网搜一下资料　也可以搞出来了　实验楼就做个虚拟机　我实在想不到这有什么卖点　　　…………不说了　再见实验楼,1.0
435,18453,蛤　我前面还评论实验楼项目不错　结果一进来看　还是一个虚拟机让你搞　　我为毛不再自己电脑上搭建　新手是菜　然而请教下别人　再上网搜一下资料　也可以搞出来了　实验楼就做个虚拟机　我实在想不到这有什么卖点　　　…………不说了　再见实验楼,1.0
436,18456,好评，可以的,1.0
437,18459,"It is a very interesting web,and give me a lot of  images.",1.0
438,18462,嗯，挺好的！,1.0
439,18465,第一次用 挺好玩的,1.0
440,18468,下载速度略慢啊,1.0
441,18471,实验环境卡死,1.0
442,18477,简单易懂,1.0
443,18480,未在主题中不明白什么意思？,0.0
444,18489,接触了vim编辑器的高级功能，如果想深入学习，还得多练,0.0
445,18492,python2 与python3 有很大区别，最好要提示和。,0.0
446,18507,还行,1.0
447,18510,实验环境比较卡,1.0
448,18513,不错的入门学习，谢谢啦！,1.0
449,18516,good,1.0
450,18519,体验不是很好。,1.0
451,18522,图形界面怎么没有保存下来，请及时解决？,0.0
452,18525,学习了基本的操作，不过还是要熟能生巧，路漫漫其修远兮,0.0
453,18531,不错，简洁易懂，适合新人,1.0
454,18534,非常适合初入学习linux的动手练习。,1.0
455,18537,太简单了，数据库连接，ODBC，JDBC，权限管理没讲,0.0
456,18540,nice,1.0
457,18543,nice,1.0
458,18546,nice,1.0
459,18549,nice,1.0
460,18552,nice,1.0
461,18555,始终图形界面在保存之后不能再次打开，请尽快解决。,1.0
462,18558,so good,1.0
463,18564,"scanf(""%d "",s[i]); 可能是在%d字符后多了一个空格，也会出错！是因为将空格读入“0”作为数组的一个输入数字处理的结果？",1.0
464,18567,挺好玩,1.0
465,18570,好,1.0
466,18573,实验楼不错！,1.0
467,18576,环境很卡,1.0
468,18579,实验环境反应有点慢。。。,0.0
469,18585,界面看起来和Windows差不多,1.0
470,18588,= =比我想象中的简单,0.0
471,18591,banner toilet figlet 这三个程序真有意思！在黑黑的窗口画图。。。,0.0
472,18594,hello world,1.0
473,18597,不错，就是源码没有完全弄明白,0.0
474,18600,原来是把所有的关系存成了一个数组，，，老师的想法也真是奇特,0.0
475,18603,very nice,1.0
476,18606,有点卡,0.0
477,18615,功能很强大，学习了Q,1.0
478,18618,环境打不开,1.0
479,18621,噢噢，,1.0
480,18624,ok,1.0
481,18627,好LAG...,1.0
482,18630,好。,1.0
483,18636,虚拟机还不会用,1.0
484,18639,~_~,1.0
485,18642,按照python学习计划走。,1.0
486,18651,好用！试验成功,1.0
487,18654,太卡了,1.0
488,18657,还可以继续,1.0
489,18663,funny!!,1.0
490,18666,well.,1.0
491,18669,6666,1.0
492,18681,摸索中，O(∩_∩)O谢谢！,1.0
493,18684,好,1.0
494,18687,很好，很强大,1.0
495,18690,hadoop没有启动，不冲会员基本上做不了这个实验，等你好不容易把环境搭好了，然后实验时间就到了。,0.0
496,18696,浅显易懂,1.0
497,18699,还行,1.0
498,18702,机器优点卡,1.0
499,18705,感谢实验楼,1.0
500,18708,knn算法在三个特征的数据集上实现训练集5%的错误率,1.0
501,18711,体验真的不错,1.0
502,18714,非常棒,1.0
503,18717,这个实验还是挺简单的，不过要搞好也是需要记忆的，记不住是个大问题，毕竟还只是个初学者，以后还是可以更好地把实验给做好！加油！come on!,1.0
504,18720,MySQL 没有一点基础，怎么启动MySQL 都不知道，上手有点难，看来我还是先百度一下 mysql 怎么启动。,0.0
505,18723,大概了解了一下这个网站怎么用！,1.0
506,18726,挺新奇的学习方法，回头让我儿子看看吧。,0.0
507,18729,不错,1.0
508,18732,体验很棒！,1.0
509,18735,很好,1.0
510,18738,擦真卡,1.0
511,18741,nice job,1.0
512,18744,学习了LINUX的用户及文件权限管理,1.0
513,18750,nice,1.0
514,18759,best,1.0
515,18762,－ －,1.0
516,18765,实验效果还行,1.0
517,18768,正则表达式...似乎很神奇,1.0
518,18771,最后那个加密与解密的实验很有趣,0.0
519,18774,VIM操作,1.0
520,18777,很不错 选择下次再学学看,1.0
521,18780,可以 满不错的,1.0
522,18783,不会运行,0.0
523,18789,第一次尝试，原来还有实验环境，挺有意思的,0.0
524,18792,好多命令没记住,0.0
525,18795,很不错的学习方法！！很有用，帮助很大。,1.0
526,18798,很棒啊,1.0
527,18801,不错哦,1.0
528,18807,不错哟,1.0
529,18810,好多内容..,1.0
530,18813,还是很管用的,1.0
531,18816,很不错的教程，就是numpy和opencv的安装太花时间了,1.0
532,18819,实验楼真是学习和码代码的好环境,1.0
533,18822,好,1.0
534,18825,SQL零基础。然后，对于桌面版的，不知道从何处打开命令行，只好切换到命令行版。,0.0
535,18828,讲的非常不错,1.0
536,18831,贴心的环境，大赞！,1.0
537,18834,缺少像第一课的实际操作，难以理解,0.0
538,18837,讲解清晰,1.0
539,18840,挺好的,1.0
540,18849,初来乍到，请多指教！,1.0
541,18852,感觉还行,1.0
542,18855,Hello ShiYanLou!,1.0
543,18858,实例简单，但是让人印象深刻，感谢实验楼！,0.0
544,18864,实验环境效果真差，不能按删除键，按回车会提示不能延时,0.0
545,18867,"create table user_anime(\nuser_id int,\nanime_id int,\nforeign key(user_id) references user(id),\nforeign key(anime_id) references anime(id)\n);\n\ninsert into user_anime(1,782);\n执行插入时，出现报错。\n错误信息如下：\nERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '1,782)' at line 1\n属于语法错误，不知道为什么是语法错误？请有关人士解释一下吧。",1.0
546,18870,体验不错,1.0
547,18873,像Exit这样的命令没有找到，有些运行不了，编辑报告时输入不了文字，撤销不了，影响好多,0.0
548,18876,touch filename ：新建文件\ngcc -o nameA nameB.c :用gcc编译nameB.c，输出文件为nameA\n./nameA :运行nameA,1.0
549,18879,touch filename ：新建文件\ngcc -o nameA nameB.c :用gcc编译nameB.c，输出文件为nameA\n./nameA :运行nameA,1.0
550,18885,一定要熟悉熟悉熟悉所有的操作。勤练,1.0
551,18888,赞！,1.0
552,18900,不错，很好玩,1.0
553,18903,还是要好好在本地做,1.0
554,18906,很好,1.0
555,18909,写教材时的Meteor版本已过期，很多东西照着做是不对的。网络太慢了，下载不了包。,0.0
556,18915,5分钟基本了解了实验楼是什么。,0.0
557,18918,不知所云,1.0
558,18921,i have no idea,0.0
559,18924,循序渐进。,1.0
560,18927,very interesting,1.0
561,18930,太有意思了！,0.0
562,18942,这一章我觉得很重要，主要是系统串讲了Linux系统的常用命令，记住它，对于我们日常使用Linux系统会有很大的方便之处,1.0
563,18945,"还是不错的一段体验，但是看了一下linux教程,并不符合我的口味。",0.0
564,18948,谢谢,1.0
565,18954,大多都是W3Cschool上的内容。。。,0.0
566,18957,加油，我热爱的,1.0
567,18960,明明都在学习,1.0
568,18963,非常好的实验，好好动手体验!,1.0
569,18972,非常不错,1.0
570,18975,md。。。为什么有效学习时间就这么点,0.0
571,18978,很不错,1.0
572,18981,抱歉  停止使用,0.0
